Mes,Despesa,Receita,recliq
01/97,"40779,4337798754","46549,91975283","37076,3915231966"
02/97,"33979,4997602534","43701,9225958155","36421,411585954"
03/97,"36271,6160349915","49002,4454346747","42364,1982362655"
04/97,"36052,4194319431","49761,1049972004","41717,1828199158"
05/97,"37437,9811031874","46300,737442242","38143,8643983346"
06/97,"36940,9458679955","43533,2016925869","37318,5547508289"
07/97,"42340,1429972758","48668,7909573555","41943,6007065636"
08/97,"36410,8434083929","49212,4617945622","42243,1152343678"
09/97,"42266,5983095321","46900,9769448028","39708,9144904796"
10/97,"44962,5137484662","49450,3139874602","42143,9352328191"
11/97,"38427,8834898967","47517,9998786361","39438,6128892127"
12/97,"65337,8351426026","67135,4273746402","59504,8610288984"
01/98,"43855,7731186027","55655,6903466559","45847,3526796805"
02/98,"39913,1203316247","47512,8688372844","40917,5112689368"
03/98,"45775,4758357433","63909,133660784","54183,807751967"
04/98,"40562,1863343422","56080,5456414951","46960,3055447096"
05/98,"39783,3652562199","48138,876832577","39577,1912414879"
06/98,"44564,9676101879","44415,2997753697","38006,7397987316"
07/98,"41950,9548582306","48994,2093446814","41857,1760734207"
08/98,"43948,7109425092","72962,7004974168","64543,1368917113"
09/98,"42658,4868710854","48246,4170100485","40009,3252971294"
10/98,"45170,8496200146","47074,4277778053","39902,4249600636"
11/98,"48943,9919979485","52286,4577866555","44779,3363519253"
12/98,"56149,686263244","72536,9969939279","63880,6101245133"
01/99,"40458,3859374126","53347,5483065928","43161,644177329"
02/99,"41676,7242378013","56629,4528340725","47206,935095665"
03/99,"42834,6297732349","68770,9011432702","58530,263280822"
04/99,"38738,5753580929","56186,1352083889","47430,2057024907"
05/99,"42540,9204067113","50109,4278921465","40293,9975541143"
06/99,"41064,196328728","60868,6947103484","54203,931071987"
07/99,"46792,8530568231","61110,6980718005","54147,2127000314"
08/99,"42874,0872181423","59828,2298243686","51835,296534094"
09/99,"41512,9817747052","61156,4076123556","53402,3205166615"
10/99,"44394,4106486293","55021,3257099964","46083,9024665693"
11/99,"45387,8062735576","56712,4622784802","47986,1806666085"
12/99,"72605,6392222682","75204,5008418611","66175,1722153347"
01/00,"44984,5110074788","59826,8000625944","49823,8473809102"
02/00,"41180,6620495726","55548,9401028999","45999,5258159981"
03/00,"41878,6424697076","65376,4067179452","54952,1273776145"
04/00,"38594,6311529637","61607,7904115474","51364,5840995453"
05/00,"42465,9786757499","62217,3508118239","51812,1728758144"
06/00,"44854,351413452","58883,863321882","50164,6509442698"
07/00,"48408,7257968798","59097,0528080622","49541,9018750187"
08/00,"45917,8795233571","65027,3708461205","56201,7676872661"
09/00,"44837,0583758385","58790,5039619165","49832,9268579815"
10/00,"50109,6401761464","62273,1369127471","53319,9285364493"
11/00,"47588,4478332854","62522,3456153507","51617,651597281"
12/00,"74229,2762694579","78715,406033979","68065,890774974"
01/01,"48851,5049012984","69570,7913721105","56739,5101981695"
02/01,"43644,6601538353","56305,582534451","45392,3826432912"
03/01,"45503,8034301143","65837,4270954263","56468,3697361898"
04/01,"44311,7604609454","74400,8365396267","64099,6099258662"
05/01,"47819,6414545792","70605,7706674928","58419,4579249227"
06/01,"47481,694459728","62685,1874594125","52194,6711959284"
07/01,"51806,924694608","65046,7544910547","55342,8112035547"
08/01,"49335,2766588599","66346,9077303141","56393,1003403053"
09/01,"46898,6399625952","62109,7086351136","51496,0104184698"
10/01,"51785,3010082288","68282,960824989","58741,2958971097"
11/01,"50480,4296724215","64005,1021183203","52757,0935271409"
12/01,"84908,2395472762","82536,9581350535","70950,9991173812"
01/02,"52899,8761716277","83373,514826027","70188,0965711557"
02/02,"46692,4589942357","68117,1918412996","53907,9795280227"
03/02,"49123,2990596705","66112,3575001006","54816,586003705"
04/02,"47766,8692921168","75146,8200444744","63899,2685055195"
05/02,"50337,2212299053","69691,5407352738","55485,7380464055"
06/02,"48034,0482071281","62102,4887162826","52994,3549621622"
07/02,"59121,3754783686","74711,2138603445","64049,7811922778"
08/02,"51628,4821981624","65923,9301006187","55268,2786164715"
09/02,"48825,5007261583","78888,7093435458","67810,5753620634"
10/02,"56705,4813063274","80338,8198758784","66934,9889166446"
11/02,"54018,5120506251","70073,6704911602","56704,9525418099"
12/02,"83503,2895892772","86304,4652104734","75311,0284918671"
01/03,"50092,6730804799","80800,6536521845","68055,3243085513"
02/03,"44794,9675468422","67995,7675768886","54248,3054759382"
03/03,"42525,7324075091","63633,1409856037","52580,9835680651"
04/03,"43416,2595201181","77192,4147448038","66751,1491333196"
05/03,"46083,1545288992","70610,899243333","55015,0483172105"
06/03,"48545,5047660575","60013,6735895201","50371,7129842465"
07/03,"54923,181212813","70613,4833542514","61653,4696396861"
08/03,"49596,305728614","67177,2725689718","55538,3601444257"
09/03,"47799,7458848702","66486,1761583404","56721,5870964766"
10/03,"54526,8087951385","74742,3458338311","64754,4642444991"
11/03,"52000,6843848848","69872,3947878219","57564,2901981579"
12/03,"89243,0726572204","86298,8448483917","75281,9489864229"
01/04,"51440,0531963987","80539,5285584164","68284,0248678537"
02/04,"48775,8035472799","72579,0986214106","58675,7024826581"
03/04,"51561,4158797848","75693,1680894032","64778,3272038959"
04/04,"51540,9476691495","79878,1138105402","67880,7242303278"
05/04,"51445,6849275323","74941,3642541173","60045,3990470596"
06/04,"53793,8769969204","75333,4839917841","66611,3333841037"
07/04,"59781,3099922435","78044,7717947218","67908,9859418408"
08/04,"54033,1515737803","74595,7450232078","61744,670267292"
09/04,"55176,7261469048","76268,0374259254","65629,6071624168"
10/04,"56639,9409110594","79003,9984644419","67127,118170421"
11/04,"56328,270517272","73291,6315874984","60187,7010276769"
12/04,"96250,7646717962","103241,270031496","90205,6110234147"
01/05,"55935,6188934146","89664,1259720368","74074,319221938"
02/05,"57469,2030226012","75680,9214735889","61808,6183640911"
03/05,"55148,5054047149","81783,9790112953","69210,7094483675"
04/05,"50422,5454431447","90667,4177258802","77386,3856372546"
05/05,"55766,4061523229","77845,8706788355","61632,8990886912"
06/05,"60033,0442181106","85268,1689243446","72205,7512234333"
07/05,"61505,2360111552","84534,4123970043","71523,3837107254"
08/05,"60847,4455246852","82460,8320261884","68797,4605367811"
09/05,"60123,2191236745","76816,8289052229","65961,3786567563"
10/05,"61167,1221611736","86048,4235794816","73337,5163205289"
11/05,"63043,9254098233","82291,702109057","65686,8055039461"
12/05,"105549,453724747","114941,57083314","97288,5041025359"
01/06,"67738,0197514899","93377,6235089711","76044,2673087675"
02/06,"56302,671479681","78644,8230360548","63662,5894808917"
03/06,"56153,7676699501","84162,5396548596","70962,1499895524"
04/06,"54560,9022544376","99070,4780618522","84329,2499272919"
05/06,"62376,1164647855","85318,0721363493","67767,1700701597"
06/06,"63317,12412595","90006,0286754147","75595,0643916263"
07/06,"69781,0908567697","90732,263579197","75912,3518599939"
08/06,"63331,5206956488","91860,6974168155","76027,7461898358"
09/06,"75927,922063718","90326,8391269202","76686,2832270369"
10/06,"67506,397973224","94189,2842424329","81300,042187726"
11/06,"69503,4239220927","85676,0891540296","68827,6191997761"
12/06,"109944,543179793","114944,9816549","98376,7510234537"
01/07,"64084,8128632571","103613,5108172","87070,072518587"
02/07,"60666,4093132605","85404,4387424504","67596,346089249"
03/07,"73416,86300012","94008,4522393656","81041,1689946605"
04/07,"63465,1227429122","108160,511056226","91204,8671341776"
05/07,"67947,8884756355","94571,4347079162","76273,2690821706"
06/07,"69621,1740970039","96722,5987118766","79794,8978638106"
07/07,"74688,7405049105","99304,6357167968","84768,2434762872"
08/07,"71599,6701553301","94509,7952438358","78718,8071393361"
09/07,"80764,0854763535","95598,6227603958","80839,1690960476"
10/07,"71253,0933330228","105697,404268334","90356,7005970735"
11/07,"74794,4165355626","101124,565981122","83472,2834103168"
12/07,"122156,884479544","128119,905368432","106756,773709757"
01/08,"74062,2830391844","122779,401115799","103285,04311401"
02/08,"63567,3951316823","94737,3367500486","73443,4150854754"
03/08,"66912,386632417","104743,774527001","86894,3094097283"
04/08,"68175,5901169063","118911,579215942","99503,2255247516"
05/08,"69875,3824018964","101806,017675346","80193,1555170517"
06/08,"71941,7188276592","103583,100559732","86557,3389002462"
07/08,"85563,0061083856","115232,219856476","98787,1283490068"
08/08,"73529,9339867682","106863,855158343","85002,0584310695"
09/08,"81386,859733932","109416,785863033","92585,4727365808"
10/08,"75572,7176469703","119227,373913947","102593,537119978"
11/08,"84868,3423462714","99910,6827456389","76865,6967923482"
12/08,"111537,197270195","124943,760165475","101152,535906124"
01/09,"86618,7658099637","112852,659865377","93768,0041521629"
02/09,"68980,2068087404","86224,1050827933","66993,791678093"
03/09,"73680,3243241451","99570,6207421223","85501,1407133175"
04/09,"77450,9399451141","111466,95540027","95260,1263661398"
05/09,"79597,7713792837","99392,1094515675","78949,4275265765"
06/09,"81279,0940024621","96739,0672956964","80190,7137453994"
07/09,"89585,5085896406","105800,715309535","92237,1720736201"
08/09,"83706,5507508805","106488,818013684","89639,3484053154"
09/09,"93332,3115833064","93434,0862092006","79661,030230281"
10/09,"84759,3731654403","120922,938156617","104361,653034969"
11/09,"89352,2552842298","128822,056043172","107880,43466659"
12/09,"110818,762017611","137643,194112697","114143,981764597"
01/10,"86414,0892577876","126853,79503084","110142,618094975"
02/10,"77695,8344559493","97186,920339088","75681,8683520078"
03/10,"99038,3302939456","105940,497112573","91293,8982394136"
04/10,"86873,55328011","132354,00132363","114670,051289444"
05/10,"88520,8890377694","109841,388065147","87542,6606629681"
06/10,"84195,5341149297","103065,260998352","85227,2828132519"
07/10,"99326,9715871355","114966,57492411","100546,074190701"
08/10,"90971,9269526695","117019,053536417","97456,4693154169"
09/10,"174055,186365966","232430,468674407","217412,280101527"
10/10,"92769,6762259215","122686,482519937","105570,28819646"
11/10,"95089,4077462471","116768,05260132","96545,0610096344"
12/10,"110224,956404859","159836,507920611","133402,583389203"
01/11,"102086,657223211","147180,744235317","124902,982217676"
02/11,"77644,6083539025","107411,283278115","81709,661814395"
03/11,"86595,0986856147","117029,571143785","100777,890244796"
04/11,"96056,380806402","141202,036064176","120587,477172639"
05/11,"87259,7589893036","118835,311561192","93631,2755003656"
06/11,"94322,8804218713","131409,282265676","110701,995925977"
07/11,"105246,031513116","141340,052157116","122691,809171051"
08/11,"91629,6501664904","117061,97133287","95601,74928967"
09/11,"98467,5551516845","121920,916165759","106721,730537164"
10/11,"95908,5998664193","134167,173022721","113594,117330477"
11/11,"92894,9604305284","122708,519135018","100036,310943295"
12/11,"124391,768697535","153770,662493434","126668,482693022"
01/12,"103159,561232272","156117,532611603","134634,607911754"
02/12,"81818,8148233664","117866,705563916","89982,8347018869"
03/12,"96658,8659051974","125713,921844706","107891,017642977"
04/12,"107611,650049622","145584,466019395","123944,474404164"
05/12,"93567,8008549442","122222,622434471","95783,0465565878"
06/12,"98117,4726407677","119787,241603191","99160,6378266619"
07/12,"109607,457729719","131607,026656818","115238,086617218"
08/12,"98896,6763783833","121342,290115232","100957,310665115"
09/12,"103256,421098815","120168,504528655","104835,909155952"
10/12,"102634,161667974","133623,087438859","116486,25637757"
11/12,"104949,147264752","121153,990120611","97929,3931844544"
12/12,"116414,121569439","166077,234668528","138649,157737142"
01/13,"109746,979770723","168555,590960432","147306,586638613"
02/13,"87372,0355790999","108589,850040845","77818,5118833215"
03/13,"97126,7805356254","113566,989295822","96529,1477568104"
04/13,"120373,811650914","147464,784077459","129841,076539928"
05/13,"95784,7505120279","130137,28113647","103618,573227986"
06/13,"105181,912914159","126938,426987523","106326,196969454"
07/13,"116179,106831381","136720,031143494","120982,912181978"
08/13,"103347,22927653","124805,528009605","102877,043617314"
09/13,"119307,364736966","121235,453632581","104384,323664486"
10/13,"115046,489861014","139155,164075676","121893,515012667"
11/13,"110712,104403296","174476,739645175","149886,678452453"
12/13,"118642,711121775","163769,18122312","138356,027452177"
01/14,"126572,335187611","169918,001056218","143240,253353842"
02/14,"94493,2576633954","117482,702296771","90010,4605557021"
03/14,"103561,867633163","125544,903303542","107480,587622304"
04/14,"108402,170546693","149080,239021777","129911,137518637"
05/14,"108554,683334227","119400,933074796","93340,4844932888"
06/14,"107142,776728947","122613,054111543","103603,072464136"
07/14,"120203,791038692","133295,306927043","116741,397173434"
08/14,"123050,791545214","131310,449351277","109034,954091221"
09/14,"129370,691747615","119788,278626145","102095,179111203"
10/14,"115733,972985013","137985,498645706","119672,197236436"
11/14,"118347,947441061","132720,254938378","109021,557401121"
12/14,"126627,140484312","155260,830056201","127853,991519625"
01/15,"121254,067162709","159377,465940432","133949,486701543"
02/15,"97443,8448339949","115043,714947966","88114,5694180405"
03/15,"101220,72895282","120578,657004887","102608,871385752"
04/15,"113103,856632986","144424,765680937","125289,750839512"
05/15,"105031,267849975","118561,940454196","94582,2547202041"
06/15,"109308,855536131","118694,009444359","98472,9724402636"
07/15,"119165,276971989","126837,869768654","109815,245011385"
08/15,"102047,380761701","114711,040577437","95189,0302435556"
09/15,"107440,842471271","114191,887142871","98854,7423477061"
10/15,"119824,037531786","122112,60191298","104184,736437973"
11/15,"113065,104094798","108021,112358936","88084,768460877"
12/15,"198382,727476652","150990,528573429","125920,641788228"
01/16,"125535,667569431","162112,30048941","142400,022207249"
02/16,"105676,955761447","101960,203235021","76761,6383635424"
03/16,"104973,708689342","111248,931912195","96102,737019051"
04/16,"106831,354858645","134487,391741738","116760,443602087"
05/16,"104227,995282215","107829,524898991","85246,3319549563"
06/16,"104109,688054981","111717,721164682","93260,003694288"
07/16,"123008,889620289","119510,896805314","101710,519501415"
08/16,"105134,89449054","100711,375995275","82743,3629538452"
09/16,"116816,994235494","103209,682626256","89002,8846406075"
10/16,"100190,366504084","162544,937215323","145115,585857719"
11/16,"123988,049834522","110066,6155612","81782,7567513775"
12/16,"171048,400306782","140737,121240021","102737,322869053"
01/17,"109834,872000482","149706,488475878","129455,804543154"
02/17,"103552,736293507","102058,629562356","74946,58372209"
03/17,"106975,699256766","111423,83674449","94806,7580304893"
04/17,"103556,718246749","136353,627605906","116882,004611406"
05/17,"115534,270668164","107134,417234232","83836,619832231"
06/17,"115117,687006057","113255,560290965","93664,0805467413"
07/17,"117851,424173375","117027,744971293","96114,5156798517"
